WESTERN REGION AVERAGE LOAD FORECAST,SOUTHERN REGION AVERAGE LOAD FORECAST,MID-ATLANTIC REGION AVERAGE LOAD FORECAST,RTO COMBINED AVERAGE LOAD FORECAST,WESTERN HUB DA LMP,RTO COMBINED WIND GEN,WESTERN REGION TOTAL OFFLINE GEN.,RTO COMBINED TOTAL OFFLINE GEN,WESTERN REGION TOTAL OFFLINE GEN.,RTO COMBINED TOTAL OFFLINE GEN. ,RTO COMBINED AVERAGE TIE FLOW,PJM-HTP DA AVERAGE FLOWS,PJM-LINDEN DA AVERAGE FLOWS,PJM-NEPT DA AVERAGE FLOWS,PJM-NYIS DA AVERAGE FLOWS,AVERAGE DA  IMPORT CPLE , AVERAGE DA IMPORT FROM DUK, AVERAGE IMPORT FROM NCMPA , AVERAGE DA IMPORT FROM SOUTH, AVERAGE DA EXPORT TO CPLE ,AVERAGE DA EXPORT DUK ,AVERAGE DA EXPORT TO NCMPA ,AVERAGE DA EXPORT TO SOUTH,PJM-MISO AVERAGE DA FLOWS ,PJM -NY AVERAGE IMPORT ,Henry HUB GAS PRICE Average,TETCO-M3 GAS PRICE,Michcon GAS PRICE,Transco-Z5 North GAS PRICE,OH - Columbus/Port Columbus Intl AVERAGE TEMP,IL - Chicago/O'Hare Intl AVERAGE TEMP,PA - Philadelphia/Intl AVERAGE TEMP.,VA - Richmond/Byrd Field AVERAGE TEMP.
49448,11272,33009,93729,34,3717,20267,33914,20267,33914,-30,34,291,0,-495,3,2,115,304,0,0,0,-253,73,1300,3,2,3,3,48,37,59,68
49095,10999,32252,92346,33,4062,20267,33914,20267,33914,-741,61,279,0,-494,3,2,115,292,0,0,0,-261,-222,1356,3,2,3,3,46,36,58,68
48302,10543,31266,90111,30,4411,20267,33914,20267,33914,-544,58,309,0,-424,3,2,115,268,0,0,0,-261,-238,836,3,2,3,3,43,36,58,68
46877,9947,29797,86621,25,4553,20267,33914,20267,33914,-751,57,244,0,-459,3,0,145,355,0,0,0,-163,-576,1177,3,2,3,3,41,36,56,66
44423,9161,27610,81194,22,4792,20267,33914,20267,33914,-1437,51,278,0,-474,3,0,180,462,0,0,0,-146,-510,1172,3,2,3,3,39,36,56,66
48260,10287,28750,87297,24,4400,13437,20431,13437,20431,-118,304,-69,-637,200,3,0,270,711,0,0,0,0,-367,1420,3,3,3,3,30,31,43,41
46186,9915,27337,83438,23,4099,12859,15249,12859,15249,1982,313,-71,-675,-454,3,0,290,511,0,0,0,-132,748,1306,3,3,3,3,29,30,42,39
44979,9816,26602,81397,23,3980,12859,15249,12859,15249,1796,289,-77,-675,-466,3,0,310,499,0,0,0,-76,643,1315,3,3,3,3,29,27,43,38
44437,9870,26371,80678,23,4094,12859,15249,12859,15249,2106,296,-112,-675,-464,3,0,310,489,0,0,0,-96,511,1319,3,3,3,3,29,27,42,36
44341,10043,26521,80905,23,3747,12859,15249,12859,15249,1906,310,-104,-675,-457,3,0,300,509,0,0,0,-99,715,1320,3,3,3,3,28,27,42,36
45064,10485,27341,82890,23,3858,12859,15249,12859,15249,954,311,-74,-675,-470,3,0,280,504,0,0,0,-181,22,1315,3,3,3,3,29,28,42,36
47396,11415,29500,88311,26,4170,12859,15249,12859,15249,713,310,-111,-675,-470,3,0,240,506,-119,0,-6,-83,-83,1315,3,3,3,3,29,28,42,35
51339,13049,32861,97249,38,4130,12859,15249,12859,15249,1923,300,-54,-675,202,3,12,240,1330,-94,0,-6,-6,406,1358,3,3,3,3,28,28,42,34
54268,13854,34936,103058,38,4117,12859,15249,12859,15249,912,303,23,-675,-739,3,12,200,1455,-139,0,-6,-10,-105,1853,3,3,3,3,28,27,42,37
54908,13498,35370,103776,34,4010,12859,15249,12859,15249,437,300,31,-675,-864,3,12,200,992,-119,0,-6,-11,-67,1721,3,3,3,3,29,28,42,42
55206,13003,35386,103595,31,4190,12859,15249,12859,15249,-37,301,40,-675,-736,3,12,160,988,-104,0,-6,-11,46,1739,3,3,3,3,28,27,43,45
55354,12517,35007,102878,32,4036,12859,15249,12859,15249,-152,302,22,-675,-722,3,12,160,983,-99,0,-6,-9,-305,1845,3,3,3,3,29,25,44,47
55120,12117,34129,101366,29,4240,12859,15249,12859,15249,-1103,303,76,-675,-735,3,0,160,983,0,0,0,-10,-791,1843,3,3,3,3,29,26,44,47
54716,11770,33596,100082,30,4427,12859,15249,12859,15249,-150,304,40,-675,-819,3,0,160,1382,0,0,0,-10,-203,1845,3,3,3,3,30,27,43,46
54278,11534,33367,99179,28,4382,12859,15249,12859,15249,-740,302,9,-675,-818,3,0,180,1017,0,0,0,-1,-187,1901,3,3,3,3,29,27,42,45
53732,11349,33144,98225,28,4511,12859,15249,12859,15249,-778,302,14,-675,-820,3,0,200,1005,0,0,0,-2,-326,1903,3,3,3,3,29,27,42,47
53303,11351,33152,97806,27,4843,12859,15249,12859,15249,-452,303,-12,-675,-810,3,0,220,1308,0,0,0,-2,-317,1819,3,3,3,3,28,26,41,45
53578,11814,34032,99424,29,4997,12859,15249,12859,15249,554,283,30,-675,-818,3,0,220,1706,0,0,0,-10,-517,1804,3,3,3,3,29,26,40,42
55222,12843,35924,103989,39,4832,12859,15249,12859,15249,1016,258,-21,-675,-821,3,12,270,2326,0,0,0,-13,-635,1746,3,3,3,3,29,25,39,40
56329,13561,36861,106751,39,4805,12859,15249,12859,15249,-282,258,-11,-675,-899,3,12,240,2156,-109,0,-6,-14,-621,1736,3,3,3,3,29,26,38,38
55733,13481,36287,105501,37,4555,12859,15249,12859,15249,-869,259,-17,-675,-915,3,12,210,1989,-114,0,-6,-13,-563,1748,3,3,3,3,29,26,37,36
55058,13402,35509,103969,36,4493,12859,15249,12859,15249,-176,288,-28,-675,-495,3,12,160,1380,-119,0,-6,-1,-530,1332,3,3,3,3,29,26,36,36
53844,13051,34337,101232,30,4505,12859,15249,12859,15249,-550,289,-37,-675,-480,3,0,190,1168,-124,0,-6,-1,-298,1433,3,3,3,3,29,27,35,34
51820,12632,32569,97021,26,4650,12859,15249,12859,15249,-103,307,-34,-675,-610,3,0,210,997,-119,0,-6,0,669,1598,3,3,3,3,28,26,35,34
47196,9561,27193,83950,23,3050,12967,23262,12967,23262,-3184,-240,-3,-623,-276,0,0,295,105,0,0,0,-40,-1198,1052,3,3,3,,34,28,44,45
46362,9316,27117,82795,23,2712,14185,25705,14185,25705,-1097,-102,-18,-675,-233,0,0,330,161,0,0,0,-412,94,1159,3,3,3,,33,28,41,45
45267,9195,26407,80869,22,2534,14185,25705,14185,25705,-1740,-86,-21,-592,-219,0,0,335,138,0,0,0,-407,123,1105,3,3,3,,32,28,40,44
44808,9238,26171,80217,22,2635,14185,25705,14185,25705,-938,-141,55,-552,-270,0,0,330,131,0,0,0,-37,46,929,3,3,3,,32,27,42,43
44787,9431,26327,80545,22,2544,14185,25705,14185,25705,-1006,-137,56,-451,-265,0,0,330,136,0,0,0,-35,128,844,3,3,3,,32,28,42,41
45553,9931,27140,82624,23,2345,14185,25705,14185,25705,-1467,-132,30,-587,-247,0,0,310,142,-20,0,0,-415,160,1085,3,3,3,,31,28,42,41
47838,10928,29247,88013,24,2245,14185,25705,14185,25705,-1571,-90,7,-581,-525,0,0,265,336,-50,0,0,-35,36,1059,3,3,3,,32,28,44,39
51761,12340,32607,96708,34,2063,14185,25705,14185,25705,-2419,-106,-52,-580,-467,0,7,210,218,-50,0,0,-34,-124,977,3,3,3,,31,28,44,38
54835,13056,34628,102519,37,1982,14185,25705,14185,25705,-2923,-105,80,-589,-486,0,7,210,251,-139,0,-6,-8,-658,1003,3,3,3,,32,29,45,40
55330,12805,34821,102956,33,1930,14185,25705,14185,25705,-2161,-92,-24,-581,-308,0,7,210,240,-50,0,0,-11,-263,882,3,3,3,,33,29,43,44
55110,12353,34668,102131,31,1754,14185,25705,14185,25705,-2397,-201,-64,-585,-385,0,7,210,220,-30,0,0,-68,-275,1220,3,3,3,,32,29,42,48
54776,12021,34387,101184,31,1580,14185,25705,14185,25705,-2793,119,53,-582,-623,0,7,210,44,-20,0,0,-443,-276,1295,3,3,3,,31,29,42,51
54227,11736,34112,100075,30,1431,14185,25705,14185,25705,-1758,273,77,-585,-334,0,5,210,16,0,0,0,-421,209,1216,3,3,3,,32,29,43,52
53699,11454,33720,98873,29,1451,14185,25705,14185,25705,-1803,-73,68,-581,-292,0,0,210,15,0,0,0,-426,68,1182,3,3,3,,32,29,43,54
53210,11265,33464,97939,28,1606,14185,25705,14185,25705,-1692,-73,71,-579,-246,0,0,220,14,0,0,0,-426,67,1139,3,3,3,,31,29,44,53
52664,11156,33314,97134,27,1667,14185,25705,14185,25705,-1769,-113,-36,-576,-285,0,0,230,15,0,0,0,-426,170,1050,3,3,3,,32,29,43,52
52412,11218,33588,97218,26,1393,14185,25705,14185,25705,-1727,-117,-1,-675,-276,0,0,245,166,0,0,0,-426,178,1409,3,3,3,,32,29,41,50
53060,11708,35041,99809,30,1143,14185,25705,14185,25705,-2324,-342,75,-675,-520,0,5,250,205,0,0,0,-434,241,1250,3,3,3,,31,29,39,48
55392,12789,37615,105796,41,1041,14185,25705,14185,25705,-1034,197,65,-675,-610,0,7,235,382,-16,0,0,-460,580,1603,3,3,3,,32,29,38,47
57224,13118,37904,108246,43,1005,14185,25705,14185,25705,-1727,196,171,-675,-723,0,7,210,383,-45,0,0,-423,139,1956,3,3,3,,31,29,36,45
56939,13071,37366,107376,40,1107,14185,25705,14185,25705,-1726,-180,79,-675,-413,0,7,210,329,-50,0,0,-465,310,1576,3,3,3,,31,28,37,42
56457,12901,36683,106041,40,1149,14185,25705,14185,25705,-1853,-313,-12,-585,-576,0,7,210,238,-50,0,0,-465,373,1685,3,3,3,,31,28,36,41
55151,12450,35329,102930,34,1112,14185,25705,14185,25705,-1433,-303,-15,-576,-241,0,5,225,79,-50,0,0,-173,571,1275,3,3,3,,31,29,36,40
52853,11805,33268,97926,28,1139,14185,25705,14185,25705,-2353,-271,-22,-675,-611,0,0,245,66,-40,0,0,-431,487,1428,3,3,3,,30,28,35,39
46194,10012,28283,84489,24,2115,14663,30414,14663,30414,-1348,151,-19,0,-1088,3,0,290,248,0,0,0,-180,-225,1715,3,3,3,3,34,33,40,43
44188,9645,26717,80550,25,2180,15485,30551,15485,30551,-1346,154,88,11,-1136,3,0,340,205,0,0,0,-131,-355,1715,4,3,4,4,35,35,39,44
43028,9502,26035,78565,24,1984,15485,30551,15485,30551,-662,155,131,11,-1138,3,0,350,221,0,0,0,-196,-911,1715,4,3,4,4,36,34,39,43
42444,9496,25934,77874,24,1785,15485,30551,15485,30551,-991,145,139,18,-1188,3,0,360,197,0,0,0,-431,-1044,1740,4,3,4,4,37,33,39,44
42358,9654,26096,78108,24,2004,15485,30551,15485,30551,-1650,158,134,46,-1173,3,0,360,182,0,0,0,-381,-931,1715,4,3,4,4,37,29,38,43
43060,10072,27215,80347,25,1893,15485,30551,15485,30551,-1415,156,132,2,-1190,3,0,350,190,0,0,0,-381,-836,1715,4,3,4,4,36,28,38,43
45361,10927,29778,86066,27,1899,15485,30551,15485,30551,-1860,149,46,0,-980,3,0,310,130,0,0,0,-352,-954,1715,4,3,4,4,37,28,39,43
49881,12119,33413,95413,40,1861,15485,30551,15485,30551,-3498,32,-19,-21,-1190,3,6,300,216,0,0,0,-366,-1062,1715,4,3,4,4,37,30,38,42
52519,12419,34989,99927,40,1880,15485,30551,15485,30551,-2270,26,25,-22,-1142,3,6,200,438,0,0,0,-76,-1208,1629,4,3,4,4,38,33,40,43
52774,12223,34721,99718,37,1863,15485,30551,15485,30551,-1787,21,137,26,-1460,3,6,200,427,0,0,0,-16,-868,1715,4,3,4,4,40,32,42,42
52490,12013,34222,98725,40,1747,15485,30551,15485,30551,-2029,31,70,-29,-1476,3,6,200,406,0,0,0,-26,-608,1715,4,3,4,4,40,31,43,43
52190,11827,33822,97839,40,1451,15485,30551,15485,30551,-2968,81,118,-71,-1220,3,6,200,406,0,0,0,-277,-1116,1715,4,3,4,4,41,37,45,43
51828,11631,33531,96990,39,1453,15485,30551,15485,30551,-2776,140,95,-61,-1188,3,6,200,348,0,0,0,-7,-1255,1715,4,3,4,4,41,39,46,44
51366,11466,33175,96007,37,1576,15485,30551,15485,30551,-2918,35,36,-60,-1326,3,6,200,348,0,0,0,-75,-992,1715,4,3,4,4,42,35,45,45
50896,11376,33047,95319,34,2114,15485,30551,15485,30551,-3464,25,47,-70,-1385,3,6,200,348,0,0,0,-253,-1119,1715,4,3,4,4,42,35,44,45
50445,11324,32893,94662,32,3071,15485,30551,15485,30551,-2711,25,44,-71,-1440,3,6,200,491,0,0,0,-27,-936,1715,4,3,4,4,42,35,44,46
50212,11476,33126,94814,32,3942,15485,30551,15485,30551,-2268,97,132,-5,-1458,3,6,200,790,0,0,0,-27,-848,1715,4,3,4,4,43,34,43,45
50875,12024,34638,97537,37,3546,15485,30551,15485,30551,-1088,99,36,-2,-1316,3,6,200,925,0,0,0,-10,-232,1715,4,3,4,4,43,32,41,44
53401,12816,37181,103398,50,2581,15485,30551,15485,30551,-1672,20,22,-12,-1389,3,6,230,960,0,0,0,-20,-247,1715,4,3,4,4,42,30,42,43
54674,12805,36907,104386,44,2779,15485,30551,15485,30551,-2264,14,105,-33,-1452,3,6,230,850,0,0,0,-10,-1131,1715,4,3,4,4,41,30,43,42
54337,12687,36314,103338,40,2667,15485,30551,15485,30551,-2150,41,51,-39,-1548,3,6,200,742,0,0,0,-10,-654,1715,4,3,4,4,39,29,43,42
53465,12417,35385,101267,37,2446,15485,30551,15485,30551,-1098,28,19,4,-1418,3,6,200,552,-15,0,0,-200,-282,1715,4,3,4,4,37,28,44,44
51925,11897,33754,97576,33,2647,15485,30551,15485,30551,-879,150,238,13,-1423,3,6,200,513,0,0,0,-169,-454,1715,4,3,4,4,38,27,44,43
49383,11129,31391,91903,28,2885,15485,30551,15485,30551,-748,147,201,82,-1352,3,0,240,493,0,0,0,-250,-224,1715,4,3,4,4,38,27,43,43
50306,11211,31326,92843,27,1342,14185,25705,14185,25705,-860,-206,-196,-675,-268,0,5,270,152,-28,0,0,-8,455,1192,3,3,3,5,30,27,35,38
48917,11041,30450,90408,29,1613,14281,26950,14281,26950,-2546,-114,-160,-675,-954,0,5,270,90,-15,0,0,-31,-72,1459,4,4,3,5,30,26,34,36
47863,11001,29813,88677,27,1619,14281,26950,14281,26950,-2418,-206,-7,-675,-836,0,5,275,87,-30,0,0,0,5,1256,4,4,3,5,30,25,33,36
47379,11107,29664,88150,28,1825,14281,26950,14281,26950,-2861,-143,-54,-675,-995,0,5,270,78,-30,0,0,-8,31,1267,4,4,3,5,30,25,31,34
47387,11425,29881,88693,29,1973,14281,26950,14281,26950,-2931,-146,-3,-675,-948,0,5,265,72,-35,0,0,-211,10,1157,4,4,3,5,29,26,30,32
48226,11974,30727,90927,31,2256,14281,26950,14281,26950,-2814,-179,32,-675,-824,0,5,245,75,-50,0,0,-441,114,1116,4,4,3,5,29,26,29,31
50572,13043,32787,96402,39,2554,14281,26950,14281,26950,-2957,-248,-14,-675,-1055,0,5,200,305,-90,0,0,-460,56,1159,4,4,3,5,28,26,28,28
54779,14456,35791,105026,59,2800,14281,26950,14281,26950,-3529,-132,-88,-675,-765,0,7,180,299,-129,0,-6,-470,-215,911,4,4,3,5,29,27,27,27
57593,15040,37449,110082,63,2982,14281,26950,14281,26950,-4524,-271,143,-675,-1195,0,7,180,233,-99,0,-6,-499,-536,1332,4,4,3,5,29,28,28,28
57514,14576,37262,109352,51,3293,14281,26950,14281,26950,-4011,26,-85,-675,-1564,0,7,180,280,-94,0,-6,-435,-100,1941,4,4,3,5,30,31,29,35
56540,13893,36500,106933,40,3453,14281,26950,14281,26950,-3638,-25,-90,-674,-1501,0,7,180,270,-89,0,-6,-467,127,1966,4,4,3,5,31,33,31,40
55485,13300,35718,104503,41,3409,14281,26950,14281,26950,-3863,-92,-213,-675,-1665,0,7,180,52,-5,0,0,-510,391,2403,4,4,3,5,33,36,33,42
54289,12828,35019,102136,40,3191,14281,26950,14281,26950,-2580,61,-170,-675,-1715,0,5,180,40,0,0,0,-518,1116,2426,4,4,3,5,34,39,34,43
53333,12360,34293,99986,34,3065,14281,26950,14281,26950,-2578,-287,-191,-662,-1614,0,5,180,40,0,0,0,-516,1049,2479,4,4,3,5,36,41,35,45
52528,12062,33875,98465,33,3079,14281,26950,14281,26950,-2907,-409,-190,-675,-1524,0,5,190,40,0,0,0,-490,538,2596,4,4,3,5,36,43,36,46
51733,11811,33682,97226,31,2996,14281,26950,14281,26950,-2994,-409,-190,-675,-1535,0,0,205,33,0,0,0,-490,511,2605,4,4,3,5,37,43,36,47
51236,11813,33929,96978,31,2601,14281,26950,14281,26950,-3283,-295,-102,-675,-1613,0,0,215,33,0,0,0,-491,285,2532,4,4,3,5,38,42,35,47
51728,12325,35327,99380,33,2381,14281,26950,14281,26950,-2507,-322,-173,-675,-1209,0,5,220,40,0,0,0,-467,920,2180,4,4,3,5,37,40,35,44
53961,13517,38056,105534,50,2200,14281,26950,14281,26950,-2026,156,-91,-675,-1933,0,7,210,194,0,0,0,-424,1418,2499,4,4,3,5,37,37,35,41
56090,14189,38480,108759,50,2283,14281,26950,14281,26950,-2893,145,-96,-675,-2137,0,7,180,185,0,0,0,-427,1078,2625,4,4,3,5,35,36,34,36
56143,14287,38040,108470,45,2754,14281,26950,14281,26950,-1937,136,-93,-675,-1643,0,7,180,180,0,0,0,-427,1351,2372,4,4,3,5,35,36,34,34
55826,14192,37581,107599,45,2994,14281,26950,14281,26950,-1748,131,-93,-675,-1102,0,7,180,118,-18,0,0,-424,1134,2032,4,4,3,5,34,37,33,33
54431,13851,36353,104635,40,3435,14281,26950,14281,26950,-2382,61,-63,-675,-1564,0,5,195,71,0,0,0,-224,842,2438,4,4,3,5,34,34,31,32
52107,13261,34477,99845,32,3889,14281,26950,14281,26950,-1734,-327,-70,-675,-1191,0,5,215,79,0,0,0,-81,1541,2236,4,4,3,5,33,35,30,31
39904,8838,25476,74218,28,4791,22971,40725,22971,40725,5231,-108,172,-527,660,0,0,175,719,0,0,0,-7,-1100,749,5,4,4,5,44,35,54,59
39714,8185,24021,71920,26,4362,20330,37440,20330,37440,4710,-127,152,331,114,0,30,190,1148,0,0,0,-6,-1612,274,5,4,4,5,44,35,55,59
38790,7979,23219,69988,25,4097,20330,37440,20330,37440,4626,-91,80,320,135,0,30,200,1414,0,0,0,-5,-1785,207,5,4,4,5,43,35,55,58
38446,7902,22933,69281,24,3939,20330,37440,20330,37440,4346,-66,77,380,147,0,30,200,1556,0,0,0,-6,-1426,160,5,4,4,5,44,34,55,56
38667,7959,23024,69650,25,3626,20330,37440,20330,37440,4250,-96,115,371,153,0,30,200,1526,0,0,0,-3,-1039,135,5,4,4,5,43,34,53,55
39655,8281,23796,71732,27,3481,20330,37440,20330,37440,3844,-142,100,422,85,0,20,190,1472,0,0,0,-3,-1304,157,5,4,4,5,43,34,51,56
41952,9024,25943,76919,31,3319,20330,37440,20330,37440,4457,-62,85,170,92,0,65,150,2356,0,0,0,-4,-382,254,5,4,4,5,43,33,49,54
45683,10162,29460,85305,37,3350,20330,37440,20330,37440,2612,-124,94,-71,144,0,65,90,916,0,0,0,-7,-335,207,5,4,4,5,42,33,48,53
48681,10672,31291,90644,37,3486,20330,37440,20330,37440,491,-192,68,48,29,0,65,50,663,-89,0,-6,-62,-535,451,5,4,4,5,41,,51,55
49683,10543,31393,91619,36,3446,20330,37440,20330,37440,714,-235,100,-675,-37,0,65,50,852,-89,0,-6,-40,-76,483,5,4,4,5,,,,
50226,10356,31084,91666,36,3520,20330,37440,20330,37440,1360,-150,80,6,135,0,65,50,932,-89,0,-6,-128,139,507,5,4,4,5,,,,
50662,10213,30929,91804,35,3585,20330,37440,20330,37440,1509,-205,1,-112,160,0,65,50,915,-89,0,-6,-15,-162,687,5,4,4,5,,,,
50842,10092,30657,91591,37,3526,20330,37440,20330,37440,2132,-202,56,-102,106,0,65,50,910,0,0,0,-5,-46,771,5,4,4,5,,,,
50856,10012,30418,91286,35,3436,20330,37440,20330,37440,2242,-193,125,-36,45,0,65,50,962,0,0,0,-5,-186,809,5,4,4,5,,,,
50828,9977,30426,91231,35,3375,20330,37440,20330,37440,1783,-203,114,-133,30,0,65,50,790,-89,0,-6,-5,-41,772,5,4,4,5,,,,
50559,9969,30442,90970,33,3337,20330,37440,20330,37440,1982,-224,110,-188,9,0,65,50,464,-89,0,-6,0,53,795,5,4,4,5,,,,
50519,10079,30747,91345,34,3226,20330,37440,20330,37440,1961,-141,107,-249,-36,0,65,50,421,-89,0,-6,0,16,878,5,4,4,5,,,,
51319,10532,31968,93819,41,3168,20330,37440,20330,37440,1191,-200,21,-508,-884,0,65,50,462,-89,0,-6,-5,32,1578,5,4,4,5,,,,
53816,11242,33631,98689,49,3107,20330,37440,20330,37440,1083,-86,115,-675,-666,0,65,50,726,-89,0,-6,-6,168,1412,5,4,4,5,,,,
54840,11480,34122,100442,47,3007,20330,37440,20330,37440,1405,-69,217,-470,-600,0,65,50,1274,-89,0,-6,-9,-192,1337,5,4,4,5,,,,
54444,11458,33825,99727,47,2832,20330,37440,20330,37440,880,-81,200,-394,-614,0,65,50,1253,-89,0,-6,-9,-77,1412,5,4,4,5,,,,
53241,11185,32855,97281,45,2627,20330,37440,20330,37440,62,-262,165,-386,-395,0,65,50,1363,-89,0,-6,-8,39,1288,5,4,4,5,,,,
51329,10710,31387,93426,41,2418,20330,37440,20330,37440,340,-245,162,-282,-587,0,65,60,1351,-89,0,-6,-59,111,1341,5,4,4,5,,,,
48911,10070,29449,88430,34,2202,20330,37440,20330,37440,1609,-230,154,-336,-251,0,65,100,1767,0,0,0,-55,-303,931,5,4,4,5,,,,
46286,9487,27554,83327,33,,20330,37440,20330,37440,1497,-254,122,-258,-462,0,40,130,1129,0,0,0,-1,-91,951,5,4,4,5,,,,
